	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36
taxon_1	0	0	0	0	2487	1291	0	0	0	1227	0	0	0	0	0	0	0	0	0	0	0	0	0	814	0	950	0	198	0	0	0	2906	0	0	0	0
taxon_2	0	100180	68504	146	686	60518	39849	100076	18254	135717	53889	0	0	0	0	0	744	0	0	0	0	0	154504	358340	583911	0	0	689	0	8766	4360	2743	4054	4700	3626	6329
taxon_3	406	104086	163670	6767	11095	43374	11089	104826	21484	88826	41859	2429	0	0	0	0	126	0	0	0	0	898126	483572	19661	1824	5266	12772	1130	253	3143	2495	1131	5609	1093	2561	5128
taxon_4	0	9019	3852	0	644	5424	0	432	330	3275	4824	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	305	0	0	495	0	253	0	0	0	0
taxon_5	0	7590	12675	353	0	11552	1862	1928	887	6829	7465	362	0	0	0	0	0	0	0	0	0	0	104	0	0	304	225	367	97	125	0	193	0	0	2301	0
taxon_6	0	7495	1540	0	0	5163	0	822	0	6633	2378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600	325	110	75	0	1189	0
taxon_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333	538	0
taxon_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0
taxon_9	169	0	139	39809	0	219	0	0	323	158	0	132242	272719	141982	282534	21201	2787	162138	86031	116992	3596	0	163	0	0	0	0	0	208	0	0	0	0	0	0	0
taxon_10	130205	0	983	32652	0	567	1518	9404	98501	2874	3148	0	2106	17816	1271	13643	68763	14375	0	118	183951	0	0	0	427	0	0	0	0	0	0	0	0	0	0	0
taxon_11	0	435	17543	323	18967	5932	3240	1345	1034	862	8085	688	0	0	0	0	490	0	0	0	99	0	0	141	0	5907	6098	264044	40201	0	0	0	0	0	0	0
taxon_12	168	62517	236	133	8204	13729	17226	91159	353	69984	24880	286	0	0	0	0	224	0	0	0	0	0	3382	2310	633	3527	0	0	1504	0	0	0	0	0	0	0
taxon_13	15179	0	165	223263	0	0	0	1302	1095	0	212	166746	70398	110407	48201	0	947	158238	30029	541759	53807	0	0	0	0	546	1963	0	0	0	0	0	0	0	0	0
taxon_14	12996	234	177	2182	2170	0	0	518	0	0	0	17468	2627	0	12193	1533	17254	7137	918	18995	0	0	132	0	144	0	654	0	0	0	0	0	0	0	0	0
taxon_15	0	20437	7832	395	1112	12070	13057	6460	2450	14024	21290	0	0	0	0	0	0	0	0	0	0	0	3635	2042	122	3196	9118	862	0	0	0	0	0	0	0	0
taxon_16	119	537	1060	251	754	0	0	670	459	811	1785	0	0	0	0	0	0	0	0	0	0	425	357	1290	0	0	377	149	135	0	0	0	0	0	0	0
taxon_17	997	35354	0	0	0	11487	63323	17495	12402	13095	108475	804	0	0	0	0	0	0	0	0	440	0	0	0	0	19891	48141	18725	354762	0	0	0	0	0	0	0
taxon_18	26146	0	0	12135	0	0	0	342	0	0	0	31881	9442	123948	36154	10655	16504	7277	1190	9160	5284	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0
taxon_19	521	802	8668	192	1926	6463	6282	184	535	0	1056	786	0	0	0	0	0	0	0	0	0	0	0	0	0	3420	599	1288	0	0	0	0	0	0	0	0
taxon_20	169	1279	3542	0	6812	461	3171	3198	403	562	4115	168	0	0	0	0	0	0	0	0	0	0	0	0	0	273	592	164	0	0	0	0	0	0	0	0
taxon_21	49535	0	0	206	0	0	0	247	0	0	197	15916	3844	0	0	1207	44127	5382	159	4875	6277	0	0	0	408	0	0	0	0	0	0	0	0	0	0	0
taxon_22	629	0	0	2220	0	0	0	0	317	0	0	3622	543	1043	9648	567	280	525	188	1838	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0
taxon_23	0	3832	1312	253	226	385	0	530	163	1841	2705	0	0	0	0	0	0	0	0	0	0	0	321	242	0	655	731	0	0	0	0	0	0	0	0	0
taxon_24	14592	0	0	0	0	0	0	0	0	0	0	5200	101	1431	17339	173	18789	1923	1212	3464	23250	0	0	0	0	0	0	25208	0	0	0	0	0	0	0	0
taxon_25	286	2092	4958	0	9793	4484	5536	0	0	2932	4129	376	0	0	0	0	0	0	0	0	0	0	0	0	0	2236	3006	889	0	0	0	0	0	0	0	0
taxon_26	0	536	737	160	937	251	1950	337	0	781	431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6502	14789	2199	0	0	0	0	0	0	0	0
taxon_27	3553	0	0	907	0	0	0	0	0	0	0	2239	1604	1424	220	284	4858	212	130	1325	691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_28	152	0	0	0	1334	1317	0	1315	5614	3834	886	0	0	0	0	0	328	0	0	0	0	0	0	0	0	765	197	252	313	0	0	0	0	0	0	0
taxon_29	0	0	337	136	1663	663	0	1552	956	1371	0	837	0	0	0	0	206	0	0	0	0	0	0	0	0	2896	2467	0	521	0	0	0	0	0	0	0
taxon_30	0	0	0	0	0	296	0	724	140	656	0	394	164	291	1011	168	418	0	194	421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_31	0	0	0	268	62083	0	0	4674	1177	1106	404	6561	0	0	0	0	0	0	0	0	0	0	0	0	0	215965	138168	37751	7606	0	0	0	0	0	0	0
taxon_32	9520	0	0	3511	0	0	0	0	0	0	0	1862	17872	11683	5530	111520	23420	1088	1292	0	10170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_33	4681	0	0	177	0	0	0	0	0	0	0	4929	1575	410	2698	0	312	1290	2927	0	2543	0	0	0	0	0	0	9635	0	0	0	0	0	0	0	0
taxon_34	0	0	1918	0	10661	4117	644	602	0	899	0	415	0	0	0	0	0	0	0	0	0	0	0	0	0	4227	3204	1365	137	0	0	0	0	0	0	0
taxon_35	0	0	455	611	197	1035	1537	525	2067	2088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	516	2537	116	0	0	0	0	0	0	0	0
taxon_36	13433	0	0	0	0	0	0	129	2699	0	0	59755	5369	2441	0	213355	5300	0	527424	0	49841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_37	0	0	880	0	491	5551	2114	8755	0	0	1445	113	0	0	0	0	0	0	0	0	0	0	0	0	0	432	308	104	0	0	0	0	0	0	0	0
taxon_38	0	0	1673	106	7111	2649	0	812	425	633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	728	2403	407	0	0	0	0	0	0	0	0
taxon_39	249	329	731	0	0	0	1267	542	228	312	122	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	1214	0	0	0	0	0	0	0	0	0
taxon_40	103301	0	0	0	0	0	0	855	0	0	0	96	172753	0	376	0	80167	0	0	241	3862	0	0	0	686	0	0	0	0	0	0	0	0	0	0	0
taxon_41	0	8628	1938	0	2453	5834	45752	1701	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3705	2190	0	0	0	0	0	0	0	0	0
taxon_42	0	0	0	0	0	0	0	0	0	0	0	769	1589	654	3731	13172	864	0	4819	1206	1087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_43	0	0	2342	177	0	641	1173	0	812	302	1586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1084	143	0	0	0	0	0	0	0	0
taxon_44	0	1174	308	0	0	539	1074	0	0	513	574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	107	182	0	0	0	0	0	0	0	0
taxon_45	237	0	0	0	0	0	0	0	0	0	0	0	133	231	285	107	376	145	123	0	808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_46	0	0	1336	0	526	892	7168	0	560	527	1576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0
taxon_47	0	0	566	0	236	459	0	0	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5341	2997	723	138	0	0	0	0	0	0	0
taxon_48	0	0	442	0	0	3254	0	1093	0	0	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	1516	3493	161	145	0	0	0	0	0	0	0
taxon_49	0	0	1284	0	977	775	1075	0	0	173	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2031	714	0	0	0	0	0	0	0	0
taxon_50	236	0	1348	0	0	0	1035	0	491	1450	251	149	0	0	0	0	0	0	0	0	0	0	0	0	0	381	0	0	0	0	0	0	0	0	0	0
taxon_51	126	0	186	525	0	0	602	0	0	0	0	138	974	0	0	0	238	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_52	13013	274	0	0	0	0	0	0	0	0	0	6974	0	0	0	0	17523	0	0	1062	0	0	0	0	173	0	0	17919	0	0	0	0	1483	907	0	0
taxon_53	0	0	0	0	0	5301	36284	0	0	0	45678	0	0	0	0	0	0	0	0	0	0	0	0	28554	0	1867	1847	0	12169	0	0	0	0	0	0	0
taxon_54	5423	0	0	43335	0	0	0	0	0	1159	0	0	1288	9658	0	0	5220	9864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_55	0	0	576	26699	0	0	0	0	0	0	0	0	0	11526	796	33758	0	0	0	0	0	0	0	0	0	1102	776	0	0	0	0	0	0	0	0	0
taxon_56	0	0	0	0	0	1905	25459	0	0	4194	1246	0	0	0	0	0	468	0	0	0	0	0	224	0	0	985	0	0	0	0	0	0	0	0	0	0
taxon_57	0	0	3995	0	11057	0	10311	0	0	0	327	0	0	0	0	0	0	0	0	0	117	0	0	0	0	4512	0	1473	0	0	0	0	0	0	0	0
taxon_58	0	0	573	250	16717	2244	0	0	0	1090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	595	685	0	0	0	0	0	0	0	0	0
taxon_59	0	0	0	0	0	0	0	0	0	0	0	0	120	249	13629	276	0	239	274	410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_60	0	0	2836	0	0	4147	0	287	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2220	745	360	0	0	0	0	0	0	0	0
taxon_61	0	317	444	0	1155	1426	0	0	5140	518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0
taxon_62	0	0	491	0	0	2948	0	462	692	2198	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	303	0	0	0	0	0	0	0
taxon_63	3107	0	0	0	0	0	0	0	0	0	0	808	265	582	195	143	0	0	0	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_64	0	0	0	0	324	169	3014	114	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	387	960	0	0	0	0	0	0	0	0	0
taxon_65	0	434	0	0	0	134	533	0	194	331	455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0
taxon_66	0	0	0	0	445	173	676	0	0	535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	216	127	0	0	0	0	0	0	0	0
taxon_67	0	0	0	175	5070	0	0	0	2332	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28911	105504	0	0	0	0	0	0	0
taxon_68	0	0	0	96	0	16160	0	4739	0	10684	0	0	0	0	0	0	0	0	0	0	0	0	0	58135	0	0	8141	0	0	0	0	0	0	0	0	0
taxon_69	0	0	0	0	0	0	6407	0	945	1181	7991	0	0	0	0	0	866	0	0	0	0	0	0	0	0	1836	0	0	0	0	0	0	0	0	0	0
taxon_70	0	779	0	0	0	0	5775	988	0	596	1841	0	0	0	0	0	0	0	0	0	0	0	0	1296	0	0	0	0	0	0	0	0	0	0	0	0
taxon_71	0	0	1767	0	0	3932	0	442	0	2773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1227	578	0	0	0	0	0	0	0	0	0
taxon_72	0	0	3904	376	0	547	0	1079	683	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_73	0	0	446	0	0	0	757	0	1160	0	748	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	706	0	0	0	0	0	0	0	0	0
taxon_74	0	509	0	0	557	641	615	0	0	552	924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_75	0	0	0	0	685	0	0	0	1609	110	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	408	798	0	0	0	0	0	0	0	0	0
